ProjectTitle,Department,ProjectType,TotalEstimatedCost,LastFinancialYearExpenditure,CurrentFinancialYearExpenditure,OngoingProgram,FutureFinancialYearExpenditure,TenderCall,ProcurementSystem,IndicativePQCRating,Region,Commentary,TenderType,ProjectEnvironment,IndigenousCommunity,ProjectNumber,Annotations,FinancialYear,latitude,longitude
"Mango Hill and Morayfield, Mango Hill State School & Morayfield State High School, Pricipal Consultant",EDUCATION,Education - Schools,$0.00,$0.00,$0.00,NA,$0.00,TBA,TBA,TBA,Brisbane,Building Infrastructure Upgrades,TBA,TBA,No,ROS Package 7,,2019 - 2020,-27.243567,153.0348563
"Brisbane, Cultural Precinct, South Brisbane, Queensland Museum: Refurbishment / Renovation / Repairs, General Building, Design and construction works",ARTS QUEENSLAND,Civic,"$1,300,000.00","$55,000.00","$1,245,000.00",NA,$0.00,Q2/2020,Non Traditional,3,Brisbane,Principal Contractor to install upgrades to the Queensland Museum Gas Suppression System,Open,Medium - within a day use facility,No,Not Applicable,,2019 - 2020,-27.4712257,153.0179901
"Brisbane, Judith Wright Centre of Contemporary Arts, JWCoCA Refurbishment: Refurbishment / Renovation / Repairs, General Building",ARTS QUEENSLAND,Civic,"$1,595,000.00","$275,000.00","$1,320,000.00",NA,$0.00,TBA,Traditional,3,Brisbane,,Select,High - within a 24 hour use facility,No,AQ 035/2019,,2019 - 2020,-27.4596745,153.0367734
"Lee Street, Caboolture, Caboolture State High School, Administration Refurb: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$3,080,000.00","$1,450,000.00","$200,000.00",NA,"$1,430,000.00",Q2/2020,Non Traditional,2,Brisbane,,Select,Medium - within a day use facility,No,34-154004,,2019 - 2020,-27.0849284,152.963553
"Moranbah State High School, Moranbah State High School, New multi-purpose hall: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,300,000.00","$303,000.00","$3,997,000.00",NA,$0.00,Q2/2020,Non Traditional,2,Mackay,,Select,Medium - within a day use facility,No,34-151596,,2019 - 2020,-21.9988682,148.0601551
"Goodna, Goodna Special School, New Building - 8 Senior GLA/Kitchen: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$10,000,000.00",$0.00,"$300,000.00",NA,"$9,700,000.00",Q2/2020,Non Traditional,0,Brisbane,,Select,TBA,No,34-153498,,2019 - 2020,-27.6155919,152.8934946
"Brisbane, Vulture Street, Woolloongabba, The Gabba: Refurbishment / Renovation / Repairs, Non-Residential Interior Refurbishment and Fitout",HPW - PROJECT DELIVERY,Recreational,"$30,000,000.00",$0.00,"$20,000,000.00",NA,"$10,000,000.00",Q2/2020,Non Traditional,3,Brisbane,"

Refurbishment works for the Gabba. ",Select,Medium - within a day use facility,No,2600585,,2019 - 2020,-27.4825576,153.0227999
"Cairns, Cairns Convention Centre, Cairns Convention Centre: New Construction Work / Addition, General Building, Extension and Refurbishment",HPW - PROJECT DELIVERY,Civic,"$352,000,000.00","$176,000,000.00","$60,000,000.00",NA,"$116,000,000.00",Tenders Under Review,Non Traditional,3,Far North,0,Select,Medium - within a day use facility,No,2600581,,2019 - 2020,-16.9275,145.777778
"Tagai State College - Thursday Island SS, Thursday Island SHS, Mer Campus, Various - Thursday and Mer Island, Torres Strait, Air Con Replacement at Tagai State College: New Construction Work / Addition, General Building",EDUCATION,Education - Colleges,"$3,300,000.00","$130,000.00","$3,170,000.00",NA,$0.00,Tenders Under Review,Non Traditional,2,Far North,,Open,Medium - within a day use facility,Yes,"34-153999, 34-154000, 34-154001",,2019 - 2020,-10.5816183,142.2203979
"Ormeau, Gold Coast, Ormeau State School, New GLA Block: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,744,000.00","$382,000.00","$8,281,000.00",NA,"$81,000.00",Tenders Under Review,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151866,,2019 - 2020,-27.7831901,153.2638599
"Forest Lake, Grand Avenue State School, Kauma Hall Upgrade: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$2,200,000.00",$0.00,"$2,200,000.00",NA,$0.00,Q1/2020,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-154514,,2019 - 2020,-27.6255404,152.9582787
"Pimpama, Pimpama North, New Primary School Pimpama North for 2021: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$53,680,000.00",$0.00,"$10,000,000.00",NA,"$43,680,000.00",Q1/2020,Non Traditional,3,Moreton South/Gold Coast,,Select,Low - on a greenfield site,No,34-152183,,2019 - 2020,-27.8221642,153.3053934
"Caloundra South, New Secondary School for 2021, Stage 1: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$60,000,000.00",$0.00,"$10,500,000.00",NA,"$49,500,000.00",Q1/2020,Non Traditional,3,Moreton North/Sunshine Coast,,Select,Low - on a greenfield site,No,34-152636,,2019 - 2020,-26.799,153.133
"Palmview, New State Primary & Special School, New schools for 2021: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$62,547,000.00","$500,000.00","$17,012,000.00",NA,"$45,035,000.00",Q1/2020,Non Traditional,3,Moreton North/Sunshine Coast,,Select,Low - on a greenfield site,No,"34-152637, 34-152238, 34-152836",,2019 - 2020,0,0
"Kedron, Taigum State School 266 Handford Rd, Taigum Qld 4018, Block F Extension: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$950,000.00",$0.00,"$950,000.00",NA,$0.00,Q1/2020,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-154250,,2019 - 2020,-27.348526,153.0395812
"Everton Park State High School, 668 STAFFORD Road, Everton Park Queensland 4053, Whole site: Refurbishment / Renovation / Repairs, Electrical - General, Site wide electrical upgrade",EDUCATION,Building related projects,"$1,224,333.00",$0.00,"$1,224,333.00",NA,$0.00,Q1/2020,Traditional,2,Brisbane,Electrical reticulation,Open,Medium - within a day use facility,No,34-153793,,2019 - 2020,-27.4081701,152.9975171
"Redcliffe, Redcliffe Hospital, MBICC and Building 1: Refurbishment / Renovation / Repairs, General Building, Cladding removal and replacement - 86606",HEALTH,Hospitals/Health/Welfare,"$2,850,000.00","$100,000.00","$2,700,000.00",NA,"$50,000.00",Q2/2020,Non Traditional,3,Brisbane,Cladding removal and replacement,Select,High - within a 24 hour use facility,No,86606,,2019 - 2020,-27.2279451,153.1048666
"Kirwan, Replacement Ambulance Station, Design and Construction of replacement station",AMBULANCE SERVICES,Building related projects,"$5,000,000.00","$47,000.00","$1,600,000.00",NA,"$3,353,000.00",TBA,TBA,TBA,Northern,,TBA,TBA,No,TBA111,,2019 - 2020,-19.309126,146.730829
"Acacia Ridge, Acacia Ridge TAFE, Acacia Ridge Caravan Training Project","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$670,000.00","$20,000.00","$650,000.00",NA,$0.00,TBA,TBA,TBA,Brisbane,,TBA,TBA,No,85401,,2019 - 2020,-27.5865198,153.0322646
"Brisbane Magistrates Court, Brisbane Magistrates Court, Refurbish DFV area and install dock in court 24: Refurbishment / Renovation / Repairs, Non-Residential Interior Refurbishment and Fitout",JUSTICE AND ATTORNEY-GENERAL,Administrative/Offices,"$1,250,000.00","$63,146.00","$1,186,854.00",NA,$0.00,Q1/2020,Traditional,3,Brisbane,Refurbishment of DFV space and installation of secure dock in court 24,Select,Medium - within a day use facility,No,84180,,2019 - 2020,-27.4679345,153.0215491
"Coolum, 42 South Coolum Road, Construction of police station: New Construction Work / Addition, General Building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,700,000.00",$0.00,"$100,000.00",NA,"$2,600,000.00",Q2/2020,Traditional,3,Moreton North/Sunshine Coast,,Select,High - within a 24 hour use facility,No,83965,,2019 - 2020,-26.5403955,153.0771992
"Townsville, Cnr Nathan and Charles Street Aikenvale, Townsville Womens Centre: New Construction Work / Addition, General Building","COMMUNITIES, DISABILITY SERVICES & SENIORS",Building related projects,"$2,700,000.00",$0.00,$0.00,NA,"$2,700,000.00",Q2/2020,Traditional,2,Northern,,TBA,Low - on a greenfield site,No,85447,,2019 - 2020,-19.292615,146.7620607
"Brisbane, Royal Brisbane and Womens Hospital, Cycle Centre and Building 40  : Refurbishment / Renovation / Repairs, General Building, Cladding removal and replacement - 86607   ",HEALTH,Hospitals/Health/Welfare,"$3,950,000.00","$100,000.00","$3,800,000.00",NA,"$50,000.00",Q2/2020,Non Traditional,3,Brisbane,Cladding removal and replacement ,Select,High - within a 24 hour use facility,No,86607,,2019 - 2020,-27.4469767,153.0284688
"Ravenswood State School, School Street, Ravenswood, Q, 4816, Relocating School: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,027,000.00","$3,723,000.00","$4,304,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Northern,,Open,Low - on a greenfield site,No,34-148555,,2019 - 2020,-20.1046557,146.8839514
"Sunshine Beach, Coolum & Sunshine Beach State High School, New Learning Centres: New Construction Work / Addition, General Building, Sunshine Beach SHS - NLC - 34-151236",EDUCATION,Education - Schools,"$12,984,000.00","$2,790,000.00","$10,194,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton North/Sunshine Coast,,Open,Medium - within a day use facility,No,"34-151215, 34-151236",,2019 - 2020,-26.407,153.105
"Mareeba, Mareeba Ambulance Station, Replacement Ambulance Station & Vehicle Plant Room: New Construction Work / Addition, General Building",AMBULANCE SERVICES,Hospitals/Health/Welfare,"$1,800,000.00",$0.00,"$400,000.00",NA,"$1,400,000.00",Tenders Under Review,Non Traditional,2,Far North,,Open,High - within a 24 hour use facility,No,84209,,2019 - 2020,-16.988613,145.423214
"Highfields, 5 Dau Road, Construction of a new police station: New Construction Work / Addition, General Building, Construction of new police station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,770,000.00","$129,000.00","$100,000.00",NA,"$2,541,000.00",Q1/2020,Traditional,2,Darling Downs,0,Open,Low - on a greenfield site,No,PN77597,,2019 - 2020,-27.473169,151.9432242
"Maryborough, State High School, Block J level 2: Refurbishment / Renovation / Repairs, General Building",EDUCATION,Education - Schools,"$4,112,240.00","$2,056,120.00","$2,056,120.00",NA,$0.00,Q1/2020,Traditional,2,Wide Bay Burnett,Refurbishment including Block J & K external treatments,Open,Medium - within a day use facility,No,34-152902,,2019 - 2020,-25.5340261,152.6973735
"Thursday Island, 156 Douglas Street, Community Centre: New Construction Work / Addition, General Building",HOUSING SERVICES,Civic,"$4,900,000.00","$924,218.00","$275,000.00",NA,"$3,700,782.00",Tenders Under Review,Traditional,2,Far North,,Open,Medium - within a day use facility,Yes,83753,,2019 - 2020,-10.5868347,142.2122513
"Southern Queensland - Gatton, Correctional Centre, 87010 - Stage 2",CORRECTIVE SERVICES,Authorities,$0.00,$0.00,$0.00,NA,$0.00,Q4/2020,TBA,TBA,Various,"
New Men's Health and Rehabilitation Prison
",TBA,TBA,No,87010,,2019 - 2020,-27.4718164,152.3027488
"Redlynch, Redlynch State College, New General Learning Centre",EDUCATION,Education - Schools,"$150,000.00",$0.00,"$150,000.00",NA,$0.00,Planning only,TBA,TBA,Far North,,TBA,TBA,No,34-153850,,2019 - 2020,-16.9086938,145.695845
"Redcliffe, Redcliffe TAFE, Redcliffe Nursing Ward","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$500,000.00",$0.00,"$500,000.00",NA,$0.00,Q3/2020,TBA,TBA,Brisbane,0,TBA,TBA,No,85997,,2019 - 2020,-27.2216343,153.1091321
"Brisbane, Stanley Street Tunnel, Light Installation: Refurbishment / Renovation / Repairs, General Building",ARTS QUEENSLAND,Car parks,"$1,300,000.00","$250,000.00","$1,050,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,High - within a 24 hour use facility,No,AQ 027/2019,,2019 - 2020,-27.4863396,153.0350769
"Pine Rivers Courthouse, Pine Rivers Courthouse, DFV Refurbishment",JUSTICE AND ATTORNEY-GENERAL,Building related projects,"$1,400,000.00","$188,120.00","$1,211,880.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,DFV Refurbishment,TBA,TBA,No,83964,,2019 - 2020,-27.304974,152.9885912
"East Toowoomba, Toowoomba East State School, Replace Amenities",EDUCATION,Education - Schools,"$1,500,000.00",$0.00,"$1,500,000.00",NA,$0.00,Q2/2020,TBA,TBA,Darling Downs,,TBA,TBA,No,34-154616,,2019 - 2020,-27.5606266,151.9656587
"Thursday Island, Tafe Campus, Blocks A and B Modernisation","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$1,600,000.00","$800,000.00","$800,000.00",NA,$0.00,Q2/2020,TBA,TBA,Far North,,TBA,TBA,Yes,86751,,2019 - 2020,-10.5783198,142.215384
"Alexandra Hills, Alexandra Hills TAFE, K Block (Option 9 Improve Nursing Allied Health)","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$1,653,000.00",$0.00,"$1,653,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85982,,2019 - 2020,-27.5251797,153.2122185
"El Arish, 5-7 Ryrie Street, Replacement fire and rescue station: New Construction Work / Addition, General Building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$1,800,000.00","$100,000.00","$1,700,000.00",NA,$0.00,Tenders Under Review,Non Traditional,3,Far North,,Open,Low - on a greenfield site,No,84475,,2019 - 2020,-17.8055302,146.0035411
"Esk and Yarraman, Various Sites, 2 Replacement Auxiliary Fire & Rescue Station: New Construction Work / Addition, General Building, 2 x New Buildings",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$1,800,000.00",$0.00,"$800,000.00",NA,"$1,000,000.00",Tenders Under Review,Non Traditional,2,Various,"10057115 Esk - 243 Ipswich Street (Lot 4 on RP815949) (FS2). 10057088 Yarraman -  Cnr Budgen and Toomey Street (Lot 190 on CA311318).
",Open,Low - on a greenfield site,No,84467,,2019 - 2020,-27.233333,152.416667
"Kilkivan, Corner of Wide Bay hwy (Council Street) and Cresent Street, Kilkivan (Lot 12 on SP128649), Fire and Rescue Station: New Construction Work / Addition, General Building, New Building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$1,800,000.00","$200,000.00","$1,600,000.00",NA,$0.00,Tenders Under Review,Non Traditional,2,Wide Bay Burnett,Replacement Auxiliary Fire and Rescue Station with SES and Rural Fire.,Open,Low - on a greenfield site,No,85460,,2019 - 2020,-26.0863659,152.2416086
"Rathdowney, 6 Running Creek Road, Fire & Rescue Facility: New Construction Work / Addition, General Building, Construction of New QFES Auxiliary Fire Station 84329",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$1,800,000.00",$0.00,"$200,000.00",NA,"$1,600,000.00",Contract Previously Awarded,Traditional,2,Moreton South/Gold Coast,Rural & Auxiliary Fire & Rescue Facility,Select,Low - on a greenfield site,No,84329,,2019 - 2020,-28.2107337,152.8654435
"Bundamba, Bundamba TAFE, B Block Metal Trades","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$2,000,000.00",$0.00,"$2,000,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,"Improve metal trade training spaces through the provision of new welding bays with curtaining and acoustic treatment, extraction hoods, benching, improved work flow space, improved lighting.",TBA,TBA,No,85991,,2019 - 2020,-27.6045665,152.8105316
"Mossman, Mossman State High School, Manual Arts Refurbishment: Refurbishment / Renovation / Repairs, General Building",EDUCATION,Education - Schools,"$2,000,000.00",$0.00,"$1,500,000.00",NA,"$500,000.00",Contract Previously Awarded,Traditional,2,Far North,,Open,Medium - within a day use facility,No,34-154640,,2019 - 2020,-16.4638791,145.3770983
"Mossman, TBC, Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,000,000.00",$0.00,"$50,000.00",NA,"$1,950,000.00",Q4/2020,TBA,TBA,Far North,,TBA,TBA,No,99997,,2019 - 2020,-16.45,145.373333
"Rainbow Beach, Fire and Rescue Station, Replacement Auxiliary Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,000,000.00",$0.00,"$200,000.00",NA,"$1,800,000.00",Q3/2020,TBA,TBA,Wide Bay Burnett,,TBA,TBA,No,4,,2019 - 2020,-27.4674253,153.0914629
"Rosewood, 74 John Street, Rosewood, Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,000,000.00",$0.00,"$50,000.00",NA,"$1,950,000.00",Q4/2020,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,88888,,2019 - 2020,-27.6372637,152.5910529
"Acacia Ridge, Acacia Ridge TAFE, Heavy Plant Centre of Excellence","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$2,025,000.00","$25,000.00","$2,000,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85400,,2019 - 2020,-27.5865198,153.0322646
"Biloela, 60 Grevillea Street, Police station, Upgrade/replacement of building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,100,000.00",$0.00,"$200,000.00",NA,"$1,900,000.00",Q1/2021,TBA,TBA,Fitzroy,,TBA,TBA,No,87017,,2019 - 2020,-24.4003194,150.5134832
"Roma, State College, Middle Campus Airconditioning Replacement: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$2,107,000.00","$122,000.00","$1,985,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,2,Darling Downs,,Open,Medium - within a day use facility,No,34-152457,,2019 - 2020,-26.5663724,148.7778747
"Gracemere, 9 Russell Street, Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$2,200,000.00",$0.00,"$200,000.00",NA,"$2,000,000.00",Q3/2020,TBA,TBA,Fitzroy,Replacement Auxiliary Station,TBA,TBA,No,3,,2019 - 2020,-23.4386579,150.4553046
"Branyan Road State School, Branyan Drive, Branyan, Qld, 4670, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$2,250,000.00","$450,000.00","$1,800,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,2,Wide Bay Burnett,,Open,Medium - within a day use facility,No,34-150293,,2019 - 2020,-24.8922299,152.2938957
"Maryborough, State High School, Blocks A, J & N: New Construction Work / Addition, General Building, Various Covered Structures",EDUCATION,Education - Schools,"$2,500,000.00","$1,500,000.00","$1,000,000.00",NA,$0.00,Tenders Under Review,Traditional,2,Wide Bay Burnett,,Open,Medium - within a day use facility,No,152902BLD1,,2019 - 2020,-25.5340261,152.6973735
"Rockhampton Hospital Coronary Care Unit Expansion, Rockhampton Hospital, Medical Services Building: New Construction Work / Addition, General Building",HEALTH - HHS - Central Queensland,Hospitals/Health/Welfare,"$2,500,000.00",$0.00,"$2,400,000.00",NA,"$100,000.00",Tenders Under Review,Traditional,3,Fitzroy,establishment of six (6) telemetry cardiac beds to expand the existing service.,Open,High - within a 24 hour use facility,No,82019,,2019 - 2020,-23.379618,150.4944974
"Mitchelton State High School, 754 Samford Road, Mitchelton Lot 887 on SP162826, Existing multi-purpose sports courts: New Construction Work / Addition, General Building, Construction of covered structure over existing courts - E0001205",EDUCATION,Building related projects,"$2,587,182.40","$1,293,591.20","$1,293,591.20",NA,$0.00,Tenders Under Review,Traditional,2,Brisbane,Construction of covered structure over existing sports courts ,Open,Medium - within a day use facility,No,E0001205,,2019 - 2020,-27.4118821,152.9661254
"One Mile State School, John Street, Gympie, QLD, 4570, Fire Rectification And New Admin: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$2,694,000.00","$1,188,000.00","$1,506,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Wide Bay Burnett,"34-150366 - New Administration Block C
34-700981 - Refurbishment of Block A",Open,Low - on a greenfield site,No,34-150366 & 34-700981,,2019 - 2020,-26.1998437,152.6752904
"CARINA HEIGHTS, 20-24 Winstanley Street, Design & Construction of 10 x 2 Bedroom Apartments: New Construction Work / Addition, House Building, Document & Construct 10x2B Apts - 85270",HOUSING SERVICES,Residential,"$2,778,197.00","$51,126.00","$2,300,000.00",NA,"$427,071.00",Contract Previously Awarded,Non Traditional,2,Brisbane,,Open,Low - on a greenfield site,No,85270,,2019 - 2020,-27.5032706,153.0882968
"Charters Towers, 3 Enterprise Road, Charters Towers, Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$3,000,000.00",$0.00,"$900,000.00",NA,"$2,100,000.00",Q3/2020,TBA,TBA,Northern,Replacement composite fire station,TBA,TBA,No,8,,2019 - 2020,-20.0766104,146.2701707
"Maleny, Fire and Rescue Station, New Maleny Emergency Services Facility",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$3,000,000.00",$0.00,"$50,000.00",NA,"$2,950,000.00",Q2/2020,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,0,,2019 - 2020,-26.7651669,152.85564
"Pimpama, 36 Cox Road, Fire and rescue station: New Construction Work / Addition, General Building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$3,000,000.00","$200,000.00","$2,000,000.00",NA,"$800,000.00",Q3/2020,Non Traditional,2,Moreton South/Gold Coast,New fire and rescue station via traditional delivery,Select,Low - on a greenfield site,No,84479,,2019 - 2020,-27.8249871,153.3029903
"Sunshine Coast, Buddina State School, New Learning Centre",EDUCATION,Education - Schools,"$3,000,000.00",$0.00,$0.00,NA,"$3,000,000.00",Q3/2020,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,34-BUDDINASSNLC,,2019 - 2020,-26.7020202,153.1335059
"Brisbane, King George Square, Water Fountain",OFFICE OF THE OMBUDSMAN,Recreational,"$3,075,000.00","$25,000.00","$3,000,000.00",NA,"$50,000.00",Q3/2020,TBA,TBA,Brisbane,"
New construction
",TBA,TBA,No,987654321,,2019 - 2020,-27.4684182,153.0241399
"Longreach, 107 - 111 Emu Street, Longreach, Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$3,100,000.00",$0.00,"$100,000.00",NA,"$3,000,000.00",Q3/2020,TBA,TBA,Central West,,TBA,TBA,No,99998,,2019 - 2020,-23.4407415,144.2476359
"Southport, Southport TAFE, Relocate Admin (SPT_ASH)_Relocate GLA (ASH_SPT)","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$3,357,000.00",$0.00,"$3,357,000.00",NA,$0.00,Q2/2020,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,85985,,2019 - 2020,-27.9671047,153.414399
"Richlands East State School, Poinsettia Street, Inala, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$3,489,000.00","$2,642,000.00","$847,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-150158,,2019 - 2020,-27.5979059,152.9677905
"Loganlea, Fire and Rescue Station, Replacement fire and rescue station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$3,500,000.00",$0.00,"$250,000.00",NA,"$3,250,000.00",Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,TBC,,2019 - 2020,-27.6825471,153.1214172
