ProjectTitle,Department,ProjectType,TotalEstimatedCost,LastFinancialYearExpenditure,CurrentFinancialYearExpenditure,OngoingProgram,FutureFinancialYearExpenditure,TenderCall,ProcurementSystem,IndicativePQCRating,Region,Commentary,TenderType,ProjectEnvironment,IndigenousCommunity,ProjectNumber,Annotations,FinancialYear,latitude,longitude
"Gooburrum State School, 14 Gooburrum Road, Gooburrum, 4670, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$3,567,000.00","$1,337,000.00","$2,230,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,2,Wide Bay Burnett,,Open,Medium - within a day use facility,No,34-151947,,2019 - 2020,-24.8239226,152.306387
"Lowood State High School, 34 Prospect Street, Lowood, QLD, 4311, New Learning Centre (6FC Program)",EDUCATION,Education - Schools,"$3,639,000.00","$3,089,000.00","$550,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,34-151224,,2019 - 2020,-27.4679848,152.5830584
"Eagleby South State School, Eagleby South State School, New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$3,822,000.00","$575,000.00","$3,247,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151946,,2019 - 2020,-27.7036217,153.2137453
"Logan Reserve, Logan Reserve State School, New Learning Centre",EDUCATION,Education - Schools,"$3,960,000.00",$0.00,"$990,000.00",NA,"$2,970,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153706,,2019 - 2020,-27.7142578,153.1140211
"Mount Cotton State School, 850-938 Mount Cotton Rd, Mount Cotton QLD, New Administration and Learning Centre",EDUCATION,Education - Schools,"$4,000,000.00","$250,000.00","$3,250,000.00",NA,"$500,000.00",Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154606,,2019 - 2020,-27.6216905,153.2368429
"Various Schools Queensland, Various Schools Queensland, Airconditioning Audits",EDUCATION,Education - Schools,"$4,000,000.00",$0.00,$0.00,NA,"$4,000,000.00",Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,TEMP_AC,,2019 - 2020,-27.4597457,153.030119
"Alexandra Hills, Alexandra Hills TAFE, M Block (Option 2 Improve Expand Plumbing Trades)","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$4,017,000.00",$0.00,"$4,017,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85983,,2019 - 2020,-27.5251797,153.2122185
"Alexandra Hills State High School, 3 Windemere Rd, Alexandra Hills Q 4157, 6FC Additional Accommodation",EDUCATION,Education - Schools,"$4,061,000.00","$3,467,000.00","$594,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Brisbane,,TBA,TBA,No,34-151210,,2019 - 2020,-27.52341,153.214227
"Kallangur, Lot 1, Marsden Road, New Kallangur-Dakabin Neighbourhood Centre","COMMUNITIES, DISABILITY SERVICES & SENIORS",Hospitals/Health/Welfare,"$4,100,000.00","$730,000.00","$1,270,000.00",NA,"$2,100,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85951,Project identified for delivery by QBuild. A range of trade and supply opportunities will be offered to industry.,2019 - 2020,-27.2507456,152.9926509
"Bundaberg, State High School, Block U: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,129,214.00","$2,064,607.00","$2,064,607.00",NA,$0.00,Tenders Under Review,Traditional,2,Wide Bay Burnett,,Open,Medium - within a day use facility,No,34-153462,,2019 - 2020,-24.8763524,152.348815
"Alexandra Hills, Alexandra Hills TAFE, Le Block (Option 5 Improve Construction Trade)","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$4,162,000.00",$0.00,"$4,162,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85981,,2019 - 2020,-27.5251797,153.2122185
"Augusta State School, Augusta State School, Additional Accommodation - 2 Storey GLA Block: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,230,000.00",$0.00,"$1,080,000.00",NA,"$3,150,000.00",Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151778,,2019 - 2020,-27.6553159,152.8775347
"James Nash State High School, James Nash State High School, New Learning Centre (6FC Program)",EDUCATION,Education - Schools,"$4,305,000.00","$3,775,000.00","$530,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Wide Bay Burnett,,TBA,TBA,No,34-151219,,2019 - 2020,-26.1751628,152.6571019
"Mount Gravatt, Mount Gravatt TAFE, (Option 4) - Improve campus experience","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$4,390,000.00",$0.00,"$4,390,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,86066,,2019 - 2020,-27.526065,153.0909823
"Mount Gravatt State High School, Mount Gravatt State High School, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,444,000.00","$3,393,000.00","$1,051,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151226,,2019 - 2020,-27.5358458,153.072791
"Newmarket, Newmarket State School, New Learning Centre",EDUCATION,Education - Schools,"$4,500,000.00",$0.00,$0.00,NA,"$4,500,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154591,,2019 - 2020,-27.4320759,153.0040511
"Drayton, Shepperd Street, New Ambulance Station: New Construction Work / Addition, General Building",AMBULANCE SERVICES,Building related projects,"$4,600,000.00","$89,000.00","$1,800,000.00",NA,"$2,711,000.00",Contract Previously Awarded,Non Traditional,2,Darling Downs,Construction of new ambulance station and LASN office on a greenfield site,Open,Low - on a greenfield site,No,85763,,2019 - 2020,-27.6045221,151.9127599
"Hamilton, Hamilton State School, Additional Accommodation",EDUCATION,Education - Schools,"$4,600,000.00",$0.00,"$300,000.00",NA,"$4,300,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153543,,2019 - 2020,-27.432485,153.0739825
"Gladstone, Toolooa State High School, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,635,000.00","$2,764,000.00","$1,871,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Fitzroy,,Open,Medium - within a day use facility,No,34-151238,,2019 - 2020,-23.874222,151.271352
"Rochedale State High School, 249 Priestdale Road, Rochedale, New Teaching Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,826,000.00","$3,975,000.00","$851,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151233,,2019 - 2020,-27.5862477,153.1118592
"Maroochydore, Maroochydore State High School, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,921,000.00","$3,356,000.00","$1,565,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Moreton North/Sunshine Coast,,Open,Medium - within a day use facility,No,34-151705,,2019 - 2020,-26.6540643,153.0749071
"Central Queensland, Baralaba & Theodore Multipurpose Health Services; Biloela, Rockhampton & Gladstone Hospitals, Capricorn Coast HHS; Eventide Home Rockhampton, North Rockhampton Nursing Centre, Various",HEALTH - HHS - Central Queensland,Hospitals/Health/Welfare,"$4,966,210.00",$0.00,"$160,000.00",NA,"$4,806,210.00",Q4/2020,TBA,TBA,Fitzroy,,TBA,TBA,No,82021,,2019 - 2020,-24.181944,149.813056
"Bamaga, Sagaukaz Street, Bamaga Hospital, Accommodation Units: New Construction Work / Addition, House Building",HEALTH - HHS - Torres and Cape,Residential,"$5,000,000.00","$2,500,000.00","$2,500,000.00",NA,$0.00,Q2/2020,Traditional,2,Far North,,Open,Low - on a greenfield site,No,85917,,2019 - 2020,-10.8958286,142.3846276
"Ithaca Creek, Lugg Street, Bardon, New General Learning Centre",EDUCATION,Education - Schools,"$5,000,000.00",$0.00,"$2,000,000.00",NA,"$3,000,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153730,,2019 - 2020,-27.4513814,152.9915113
"Lawnton State School, Todds Road, Lawnton, QLD, 4501, Renewing our Schools Program",EDUCATION,Education - Schools,"$5,000,000.00","$500,000.00","$4,000,000.00",NA,"$500,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154607,,2019 - 2020,-27.2812929,152.9751928
"Rockhampton, Queensland Ambulance Service, Ambulance Station and Communications Centre",AMBULANCE SERVICES,Administrative/Offices,"$5,000,000.00","$120,000.00","$1,300,000.00",NA,"$3,580,000.00",Q3/2020,TBA,TBA,Fitzroy,Upgrade to Ambulance Station and Communications Centre,TBA,TBA,No,82730,,2019 - 2020,-23.3788856,150.508766
"Southport, Southport TAFE, (Option 1) Conslidate expand Nursing Allied Health","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$5,000,000.00",$0.00,"$5,000,000.00",NA,$0.00,Q2/2020,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,85986,,2019 - 2020,-27.9671047,153.414399
"Springfield Central, Parkland Drive, Springfield, New General Learning Centre",EDUCATION,Education - Schools,"$5,000,000.00",$0.00,"$2,000,000.00",NA,"$3,000,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153853,,2019 - 2020,-27.6903231,152.9101823
"Toowong State School, 37 St Osyth Street, Toowong, Q, 4066, New General Learning Centre & Administration",EDUCATION,Education - Schools,"$5,000,000.00",$0.00,"$1,250,000.00",NA,"$3,750,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153641,,2019 - 2020,-27.4818187,152.9890868
"Kawana Waters State College, 119 Sportsmans Parade, Bokarina 4575, New Learning Centre (6FC 2020 Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,008,000.00","$1,382,000.00","$3,626,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton North/Sunshine Coast,,Open,Medium - within a day use facility,No,34-151220,,2019 - 2020,-26.7402252,153.1269616
"Northern Beaches State High School, Meranti Street, Deeragun Queensland 4818, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,113,000.00","$2,889,000.00","$2,224,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Northern,,Open,Medium - within a day use facility,No,34-151347,,2019 - 2020,-19.2472819,146.6724644
"CANNON HILL, 16 BOMBERY STREET, New Building",HOUSING SERVICES,Residential,"$5,450,000.00",$0.00,"$250,000.00",NA,"$5,200,000.00",Q4/2020,TBA,TBA,Various,"

Construction of 20 x 1 Bedroom Apartments
",TBA,TBA,No,85296,,2019 - 2020,-27.4674386,153.0883414
"Mount Gravatt, Mount Gravatt TAFE, Option tbc","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$5,497,000.00",$0.00,"$5,497,000.00",NA,$0.00,Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,86063,,2019 - 2020,-27.526065,153.0909823
"Morningside, Morningside State School, New General Learning Centre",EDUCATION,Education - Schools,"$5,500,000.00",$0.00,"$1,650,000.00",NA,"$3,850,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153729,,2019 - 2020,-27.464569,153.0663327
"Pimpama, Pimpama State Primary College (PPP), Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,543,000.00","$1,689,000.00","$3,854,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Moreton South/Gold Coast,,Select,Medium - within a day use facility,No,34-151867,,2019 - 2020,0,0
"Cairns, Cairns Ambulance Station and Communications Centre, Redevelopment of ambulance station & comms centre",AMBULANCE SERVICES,Building related projects,"$5,600,000.00",$0.00,"$200,000.00",NA,"$5,400,000.00",Q3/2020,TBA,TBA,Far North,Redevelopment of the site including ambulance station and communications centre.,TBA,TBA,No,83763,,2019 - 2020,-16.9138961,145.7514706
"Parkhurst (Rockhampton), Parkhurst State School, New Admin, Canteen And Learning Centre",EDUCATION,Education - Schools,"$5,700,000.00",$0.00,"$1,600,000.00",NA,"$4,100,000.00",Q2/2020,TBA,TBA,Fitzroy,,TBA,TBA,No,34-151342,,2019 - 2020,-23.2959117,150.5137023
"Kedron State School, Leckie Road, Kedron, QLD, 4031, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,734,000.00","$3,556,000.00","$2,178,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,New Learning Centre,Open,Medium - within a day use facility,No,34-150300,,2019 - 2020,-27.4063602,153.0355462
"Kedron, Kedron State High School, Park Road, Kedron, QLD 4031, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,781,000.00","$3,673,000.00","$2,108,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151221,,2019 - 2020,-27.4153673,153.039574
"Albany Creek State High School, Albany Forest Drive, Albany Creek 4035, New Learning Centre (6fc Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$5,821,000.00","$3,720,000.00","$2,101,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151209,,2019 - 2020,-27.3570353,152.9692139
"Newstead, Cnr Breakfast Creek Rd & Newstead Ave, Newstead House",ENVIRONMENT AND SCIENCE,Building related projects,"$5,833,000.00","$50,000.00","$1,500,000.00",NA,"$4,283,000.00",Q3/2020,TBA,TBA,Brisbane,"Pre-design and schematic design phases of conservation works to Newstead House and Newstead Tramway (former)

",TBA,TBA,No,PN TBC,,2019 - 2020,-27.4430727,153.0442082
"Acacia Ridge, Acacia Ridge TAFE, Acacia Ridge - A & C Roof Replacement Project","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$6,020,000.00","$20,000.00","$4,000,000.00",NA,"$2,000,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85412,,2019 - 2020,-27.5865198,153.0322646
"Brisbane, Warrigal Road State School, Additional Accommodation",EDUCATION,Education - Schools,"$6,110,000.00",$0.00,"$1,550,000.00",NA,"$4,560,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153545,,2019 - 2020,-27.5866158,153.0846885
"Southport, Gold Coast, Southport Ambulance Station & Operation Centre, Station and Operation Centre - Master Planning",AMBULANCE SERVICES,Administrative/Offices,"$6,200,000.00","$200,000.00","$300,000.00",NA,"$5,700,000.00",Q3/2020,TBA,TBA,Moreton South/Gold Coast,Preliminary site and building investigations and Master planning.,TBA,TBA,No,84672,,2019 - 2020,-27.973794,153.4183144
"Moggill, Mogill State School, New Learning Centre",EDUCATION,Education - Schools,"$6,492,500.00",$0.00,"$1,952,500.00",NA,"$4,540,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153859,,2019 - 2020,-27.5687954,152.8767019
"Beenleigh, Beenleigh Special School, New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$6,498,000.00","$945,000.00","$5,553,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151944,,2019 - 2020,-27.724135,153.20082
"Pimpama State School, 9 Hotham Creek Road North, Pimpama, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$6,585,000.00","$3,466,000.00","$3,119,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-150297,,2019 - 2020,-27.8168784,153.2772588
"Mount Ommaney, Mount Ommaney Special School, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$6,689,000.00","$3,846,000.00","$2,843,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,34-150296,,2019 - 2020,-27.5437733,152.9415725
"Aurukun, Lot 20, Kang Kang Road, Police station and watch-house",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$6,700,000.00","$211,000.00","$640,000.00",NA,"$5,849,000.00",Q3/2020,TBA,TBA,Far North,Upgrade of facility,TBA,TBA,No,83958,,2019 - 2020,-13.3572661,141.7280661
"Ipswich, Ipswich State High School, New Learning Centre",EDUCATION,Education - Schools,"$6,700,000.00",$0.00,"$6,700,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153926,,2019 - 2020,-27.5911789,152.7461799
"Mitchelton Special School, Kedron Avenue, Mitchelton, QLD, 4053, New Learning Centre & Admin",EDUCATION,Education - Schools,"$6,710,000.00","$110,000.00","$1,100,000.00",NA,"$5,500,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-146904,,2019 - 2020,-27.4126794,152.9762686
"Bracken Ridge, 223 Bracken Ridge Road, Bracken Ridge, Bracken Ridge Fire and Rescue Station: New Construction Work / Addition, General Building, New Fire Station (& Possible MP Building)",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$6,766,000.00","$1,753,000.00","$5,013,000.00",NA,$0.00,Contract Previously Awarded,Traditional,2,Brisbane,,Open,Low - on a greenfield site,No,84810,,2019 - 2020,-27.3114103,153.0427905
"Brightwater, Brightwater State School, New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$6,871,000.00","$4,179,000.00","$2,692,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton North/Sunshine Coast,,Open,Medium - within a day use facility,No,34-151341,,2019 - 2020,-26.7099643,153.1117238
"Pacific Pines, State High School, New Learning Centre (2020 Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$6,993,000.00","$3,249,000.00","$3,744,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton South/Gold Coast,,Open,Medium - within a day use facility,No,34-151227,,2019 - 2020,-27.9429019,153.3204666
"Eumundi, Eumundi State School, Additional Accommodation",EDUCATION,Education - Schools,"$7,000,000.00",$0.00,"$300,000.00",NA,"$6,700,000.00",Q2/2020,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,34-153855,,2019 - 2020,-26.4738856,152.9517594
"Mer (Murray Island), Mer Island Primary Health Care Centre, Primary Health Care Centre and Accommodation",HEALTH,Hospitals/Health/Welfare,"$7,000,000.00","$683,000.00","$274,000.00",NA,"$6,043,000.00",Q3/2020,TBA,TBA,Far North,Project entails construction of a new PHCC and on-site staff accomodation buildings on Mer Island.,TBA,TBA,Yes,CAS374,,2019 - 2020,-9.9186033,144.0493904
"Rural & Remote Queensland, Various in Rural and Remote, Accomodation",HEALTH,Residential,"$7,100,000.00",$0.00,"$100,000.00",NA,"$7,000,000.00",Q1/2021,TBA,TBA,Far North,staff accommodation in Rural & Remote Queensland ,TBA,TBA,Yes,CAS414,,2019 - 2020,36.7931177,-95.5919774
"Runcorn Heights, Runcorn Heights State School, New Learning Centre",EDUCATION,Education - Schools,"$7,150,000.00",$0.00,"$660,000.00",NA,"$6,490,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154223,,2019 - 2020,-27.6043641,153.0691822
"Peregian Springs, Peregian Springs State School, New General Learning Centre",EDUCATION,Education - Schools,"$7,160,000.00",$0.00,"$1,790,000.00",NA,"$5,370,000.00",Q3/2020,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,34-152085,,2019 - 2020,-26.4996501,153.0726727
"Proserpine, Proserpine State High School, New Learning Centre (6FC Program)",EDUCATION,Education - Schools,"$7,338,000.00","$6,000,000.00","$1,338,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Mackay,,TBA,TBA,No,34-151231,,2019 - 2020,-20.4065334,148.5816678
"Mount Gravatt, Mount Gravatt TAFE, G Block and Campus","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$7,590,786.00","$2,477,786.00","$5,113,000.00",NA,$0.00,Q2/2020,TBA,TBA,Brisbane,Fashion CoE stage 2 and Campus Experience ,TBA,TBA,No,86064/86066,,2019 - 2020,-27.526065,153.0909823
"Bribie Island, Bribie Island State High School, New Learning Centre (2020 Program)",EDUCATION,Education - Schools,"$7,645,000.00","$5,250,000.00","$2,395,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Brisbane,,TBA,TBA,No,34-151211,,2019 - 2020,-27.0829964,153.1664631
"Centenary State High School, 1 Moolanda Street, Jindalee 4074, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$7,645,000.00","$6,785,000.00","$860,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151214,,2019 - 2020,-27.5376205,152.9400203
"Cairns, Tropical North Learning Academy - Smithfield State High School, Additional Classrooms",EDUCATION,Education - Schools,"$7,700,000.00",$0.00,"$1,925,000.00",NA,"$5,775,000.00",Q4/2020,TBA,TBA,Far North,,TBA,TBA,No,34-154590,,2019 - 2020,-16.8130743,145.6974223
"Mansfield, Mansfield State School, Ham Road, Mansfield, New Teaching Block for Prep",EDUCATION,Education - Schools,"$7,700,000.00",$0.00,"$1,500,000.00",NA,"$6,200,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153174,,2019 - 2020,-27.5422721,153.106216
"Pallara, Pallara State School, New Learning Centre",EDUCATION,Education - Schools,"$7,700,000.00",$0.00,"$770,000.00",NA,"$6,930,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153858,,2019 - 2020,-27.6297763,152.9941473
"Cleveland District State High School, Russell Street, Cleveland Queensland 4163, New Learning Centre 6fc 2020",EDUCATION,Education - Schools,"$7,763,000.00","$6,072,000.00","$1,691,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Brisbane,,TBA,TBA,No,34-149843,,2019 - 2020,-27.5309208,153.2609422
"Eagle Junction State School, 49 Roseby Avenue, Clayfield 4011, New 10 space building",EDUCATION,Education - Schools,"$7,900,000.00",$0.00,"$7,900,000.00",NA,$0.00,Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154592,,2019 - 2020,-27.418023,153.0505587
"Bray Park, Bray Park SHS, New Learning Centre",EDUCATION,Education - Schools,"$8,000,000.00",$0.00,$0.00,NA,"$8,000,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-BRAYPARKSHS,,2019 - 2020,-27.2999415,152.9620272
"Laidley, Laidley State High School, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,123,000.00","$4,559,000.00","$3,564,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton North/Sunshine Coast,,Open,Medium - within a day use facility,No,34-151223,,2019 - 2020,-27.6370015,152.4042969
"Pormpuraaw, Wirran Street, Police station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$8,200,000.00","$243,000.00","$4,894,000.00",NA,"$3,063,000.00",Q2/2020,TBA,TBA,Far North,"Replacement of police station, boat shed and watch-house, demolition of existing.",TBA,TBA,No,83959,,2019 - 2020,-14.901618,141.6154207
"Holland Park, Nursery Road Special School, New Building -  6 GLA/Kitchen",EDUCATION,Education - Schools,"$8,600,000.00",$0.00,"$2,150,000.00",NA,"$6,450,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153007,,2019 - 2020,-27.5340299,153.0642326
"Cavendish Road State High School, Cnr Cavendish & Holland Roads, Holland Park, 4121, New Learning Centre (6FC Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,887,000.00","$5,614,000.00","$3,273,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151346,,2019 - 2020,-27.5166518,153.0728984
"Mansfield State High School, 328 Broadwater Road, Qld 4122, 6fc Additional Accomodation - New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,983,000.00","$4,440,000.00","$4,543,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane, ,Open,Medium - within a day use facility,No,34-151024,,2019 - 2020,-27.544295,153.1070711
