ProjectTitle,Department,ProjectType,TotalEstimatedCost,LastFinancialYearExpenditure,CurrentFinancialYearExpenditure,OngoingProgram,FutureFinancialYearExpenditure,TenderCall,ProcurementSystem,IndicativePQCRating,Region,Commentary,TenderType,ProjectEnvironment,IndigenousCommunity,ProjectNumber,Annotations,FinancialYear,latitude,longitude
"Pinkenba, 164 Main Beach, Pinkenba, Fleet Workshop",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$9,000,000.00",$0.00,"$1,500,000.00",NA,"$7,500,000.00",Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,1,,2019 - 2020,-27.3830071,153.1426451
"Shailer Park, Shailer Park State High School, General Learning Block",EDUCATION,Education - Schools,"$9,003,500.00",$0.00,"$1,925,000.00",NA,"$7,078,500.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154597,,2019 - 2020,-27.6620975,153.1867092
"Nambour, 156-170 Currie Street, Replacement police station building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$9,040,000.00","$412,000.00","$100,000.00",NA,"$8,528,000.00",Q4/2020,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,82761,,2019 - 2020,-26.629385,152.959517
"Cairns, Trinity Bay State High School, New Senior Learning Centre (6FC): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$9,078,000.00","$5,440,000.00","$3,638,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Far North,,Open,Medium - within a day use facility,No,34-151239,,2019 - 2020,-16.9226703,145.7526518
"Sunnybank Hills, Sunnybank Hills State School, 50 Eddington Street, QLD, 4109, New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$9,450,000.00","$90,000.00","$1,890,000.00",NA,"$7,470,000.00",Contract Previously Awarded,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151949,,2019 - 2020,-27.5951557,153.0556335
"Indooroopilly, Indooroopilly State School, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$9,683,000.00","$6,441,000.00","$3,242,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,34-150301,,2019 - 2020,-27.4998845,152.9676524
"Pine Rivers, Pine Rivers Special School, Additional Accommodation: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$9,700,000.00",$0.00,"$2,000,000.00",NA,"$7,700,000.00",Q2/2020,Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,34-153511,,2019 - 2020,-27.2827139,152.9839296
"Thornlands, Redland District Special School, New Learning Centre",EDUCATION,Education - Schools,"$9,900,000.00",$0.00,"$2,970,000.00",NA,"$6,930,000.00",Q1/2021,TBA,TBA,Brisbane,,TBA,TBA,No,34-154593,,2019 - 2020,-27.5500102,153.26082
"Tamborine Mountain State High School, Holt Rd, North Tamborine, QLD, 4272, New Multi-Storey General Learning Building: New Construction Work / Addition, General Building, 6FC Building Contract",EDUCATION,Education - Schools,"$9,939,000.00","$5,695,000.00","$4,244,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151237,,2019 - 2020,-27.932933,153.190569
"Ashmore, Ashmore TAFE, (Option 2) New Trade Training building","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$10,000,000.00",$0.00,"$10,000,000.00",NA,$0.00,Q2/2020,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,85960,,2019 - 2020,-27.9937002,153.3910916
"Burpengary, Burpengary State Secondary College, New Learning Centre: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$10,000,000.00",$0.00,$0.00,NA,"$10,000,000.00",Q2/2020,Non Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,34-154602,,2019 - 2020,-27.1710835,152.9781564
"Ashmore, Ashmore TAFE, Construction Trades, New Trades Student Hub","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,"$10,354,000.00",$0.00,"$10,354,000.00",NA,$0.00,Q2/2020,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,85984,,2019 - 2020,-27.9937002,153.3910916
"Southport, State High School, New Learning Centre (2020 Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$10,417,000.00","$8,326,000.00","$2,091,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Moreton South/Gold Coast,,Open,Medium - within a day use facility,No,34-151234,,2019 - 2020,-27.9620678,153.4020804
"SMITHFIELD, Smithfield State High School, O'Brien Road, Smithfield QLD 4870, New Centre for Athlete Development and Performing: New Construction Work / Addition, General Building, New Multipurpose Hall",EDUCATION,Education - Schools,"$10,450,000.00","$7,411,800.00","$3,038,200.00",NA,$0.00,Q2/2020,Non Traditional,3,Far North,New Multipurpose Hall - 34-151827,Open,Medium - within a day use facility,No,34-151827.,,2019 - 2020,-16.8130743,145.6974223
"Stretton, Stretton State College (Senior Campus), New Learning Centre",EDUCATION,Education - Schools,"$10,450,000.00",$0.00,"$3,135,000.00",NA,"$7,315,000.00",Q4/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-154599,,2019 - 2020,-27.6392706,153.056067
"Palm Beach Currumbin, State High School, Additional Accommodation (6FC)",EDUCATION,Education - Schools,"$10,498,000.00","$8,262,000.00","$2,236,000.00",NA,$0.00,Contract Previously Awarded,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,34-151228,,2019 - 2020,-28.1316871,153.4742745
"Charlton, 19 Steger Road, Charlton Q 4350, Regional Headquarters and Fire and Rescue Station",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$10,656,880.00","$56,880.00","$3,000,000.00",NA,"$7,600,000.00",Q2/2020,TBA,TBA,Darling Downs,"Construction of regional headquarters and Fire and Rescue Station
",TBA,TBA,No,77575,,2019 - 2020,-27.5134093,151.8499576
"EVERTON PARK, Everton Park State High School - 668 Stafford Rd, Everton Park QLD 4053, New Performing Arts Centre & Refurb Block C Lvl 1: New Construction Work / Addition, General Building, New PA Centre, Admin Building and Refurb Block C Lvl 1",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Q3/2020,Non Traditional,3,Brisbane,"Construction of a new Performing Arts Centre, Construction of a new Administration building. Refurbishment of Learning Spaces to Block C level 1 ",Select,Medium - within a day use facility,No,"E0001197, E0001198",,2019 - 2020,-27.4081701,152.9975171
"FERNY GROVE, Ferny Grove State High School - 26 McGinn Rd, Ferny Grove QLD 4055, New multi-purpose sports and performing arts hall: New Construction Work / Addition, General Building, New multi-purpose sports and performing arts hall ",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Brisbane,New multi-purpose sports and performing arts hall ,Select,Medium - within a day use facility,No,E0001199,,2019 - 2020,-27.4069901,152.9339506
"Hervey Bay, Hervey Bay State High School, Performing Arts Centre and additional accommodatio",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$2,750,000.00",NA,"$8,250,000.00",Q3/2020,TBA,TBA,Wide Bay Burnett,,TBA,TBA,No,34-HERVEY,,2019 - 2020,-25.2827833,152.8322108
"INDOOROOPILLY, Indooroopilly State High School - 111 Ward St, Indooroopilly QLD 4068, New Multipurpose Sports Hall: New Construction Work / Addition, General Building, New Multi-purpose Sports Hall",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Q2/2020,Non Traditional,4,Brisbane,New Multipurpose Sports Hall,Select,Medium - within a day use facility,No,E0001201,,2019 - 2020,-27.5007028,152.9852194
"MANSFIELD, Mansfield State High School - Broadwater Road & Ham Rd, Mansfield QLD 4122, New Covered Link and Refurb Admin, Multi learning: Refurbishment / Renovation / Repairs, General Building, Covered Link and Refurb Admin and Multi learning spaces",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Q2/2020,Traditional,3,Brisbane, New Covered Link and Refurbishment of the Administration and Multiple Learning Spaces,Select,Medium - within a day use facility,No,E0001206,,2019 - 2020,-27.5447944,153.106024
"MITCHELTON, Mitchelton State High School - 754 Samford Rd, Mitchelton QLD 4053, Refurb to hall and new IT hub and resource centre: Refurbishment / Renovation / Repairs, General Building, Refurb to hall and new IT Hub and resource centre",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Q3/2020,Traditional,3,Brisbane,Refurbishment and extension to the existing hall and construction of a New information technology hub and resource centre ,Select,Medium - within a day use facility,No,"E0001203, E0001204",,2019 - 2020,-27.4118821,152.9661254
"SARINA, Sarina State High School - 14/30 Anzac St, Sarina QLD 4737, New Multipurpose Hall   34-151818: New Construction Work / Addition, General Building, New Multipurpose Hall",EDUCATION,Building related projects,"$11,000,000.00",$0.00,"$1,675,000.00",NA,"$9,325,000.00",Q3/2020,Traditional,3,Mackay,New Multipurpose Hall - 34-151818,Open,Medium - within a day use facility,No,34-151818,,2019 - 2020,-21.4200268,149.2129281
"Springwood State High School - 200 Springwood Rd, Refurb PA Hall and buildings + New Canteen: Refurbishment / Renovation / Repairs, General Building",EDUCATION,Education - Schools,"$11,000,000.00",$0.00,"$11,000,000.00",NA,$0.00,Q2/2020,Traditional,3,Brisbane,"Refurbishment of Multi-purpose Performing Arts Hall, New Canteen and Multiple Refurbishments   ",Select,Medium - within a day use facility,No,E0001206.,,2019 - 2020,-27.6112318,153.137678
"Blackwater, Blackwater State High School, Replacement Manual Arts Building: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$11,100,000.00",$0.00,"$3,900,000.00",NA,"$7,200,000.00",Q2/2020,Traditional,2,Fitzroy,,Open,Medium - within a day use facility,No,34-154799,,2019 - 2020,-23.5726016,148.8831405
"Arundel, 61 Newheath Drive, Police facility: New Construction Work / Addition, General Building, Design & Construct Multi Purpose Police Facility",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$11,500,000.00","$736,000.00","$10,764,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Moreton South/Gold Coast,Construction of a police facility,Select,Low - on a greenfield site,No,84834,,2019 - 2020,-27.948875,153.342971
"Caboolture, State High School, New Senior Learning Centre (6FC): New Construction Work / Addition, General Building, Contract for 2020 Senior Learning Centre (6FC)",EDUCATION,Education - Schools,"$11,610,000.00","$6,633,000.00","$4,977,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151213,,2019 - 2020,-27.0837607,152.9615128
"CAIRNS, Cairns State High School, New Mulitpurpose Sports Centre and Refurb Block J: New Construction Work / Addition, General Building, ew Mulitpurpose Sports Centre and Refurb Block J  34-153826",EDUCATION,Building related projects,"$11,825,000.00",$0.00,"$8,525,000.00",NA,"$3,300,000.00",Q2/2020,Traditional,3,Far North,34-153826,Open,Medium - within a day use facility,No,34-153826,,2019 - 2020,-16.916591,145.768082
"HEATLEY, Heatley Secondary College - Fulham Rd & Hanlon St, Heatley QLD 4814, Upgrade and Extension of Multiple Buildings: Refurbishment / Renovation / Repairs, General Building, Upgrade and Extension of Multiple Buildings 34-151822",EDUCATION,Building related projects,"$11,825,000.00",$0.00,"$8,525,000.00",NA,"$3,300,000.00",Q2/2020,Traditional,3,Northern,Upgrade and Extension of Multiple Buildings,Open,Medium - within a day use facility,No,34-151822,,2019 - 2020,-19.2863769,146.7544708
"TRINITY BEACH, Trinity Beach State School, New Buildings: New Construction Work / Addition, General Building, New Buildings   34-153828",EDUCATION,Building related projects,"$11,825,000.00",$0.00,"$8,525,000.00",NA,"$3,300,000.00",Q2/2020,Traditional,3,Far North,New Buildings 34-153828,Open,Medium - within a day use facility,No,34-153828,,2019 - 2020,-16.7951683,145.6904586
"Indooroopilly State High School, 111 Ward St, Indooroopilly, QLD, New Multipurpose Sports Centre",EDUCATION,Education - Schools,"$12,000,000.00","$537,050.00","$2,224,475.00",NA,"$9,238,475.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153820,,2019 - 2020,-27.5007028,152.9852194
"Murgon, Murgon SHS - 34-153240, 34-154608, Administration Building, Multi-purpose Hall",EDUCATION,Education - Schools,"$12,100,001.00","$76,306.00","$4,070,000.00",NA,"$7,953,695.00",Q4/2020,TBA,TBA,Wide Bay Burnett,,TBA,TBA,No,"34-153240, 34-154608",,2019 - 2020,-26.236842,151.944163
"New Farm, New Farm State School, New Learning Centre",EDUCATION,Education - Schools,"$13,000,000.00",$0.00,$0.00,NA,"$13,000,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-NEWFARMSSNLC,,2019 - 2020,-27.4604658,153.0453292
"Murrumba Secondary College, Goodfellows Rd Murrumba Downs, 3 X learning centres: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$13,050,000.00","$50,000.00","$50,000.00",NA,"$12,950,000.00",Contract Previously Awarded,Non Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151948,,2019 - 2020,-27.259431,153.0072857
"Saibai Island, Lot 102 SP296838, Community Safety and Security Facility: New Construction Work / Addition, General Building",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$13,066,000.00","$1,013,000.00","$12,053,000.00",NA,$0.00,Tenders Under Review,Traditional,3,Far North,Construction of a multi-agency government facility and overnight accommodation,Select,Low - on a greenfield site,Yes,82315,,2019 - 2020,-9.4051284,142.6921001
"Caboolture, 30 King Street, Police watch-house",PUBLIC SAFETY BUSINESS AGENCY (PSBA),Authorities,"$13,795,061.00","$104,061.00","$352,000.00",NA,"$13,339,000.00",Q3/2020,TBA,TBA,Brisbane,Demolition of existing building and construction of police watch-house facility,TBA,TBA,No,82574,,2019 - 2020,-27.0854422,152.952129
"Brisbane Central State School, Rogers Street, Spring Hill, 4000, New General Learning Centre and Administration",EDUCATION,Education - Schools,"$14,150,000.00",$0.00,"$150,000.00",NA,"$14,000,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-153852,,2019 - 2020,-27.4592392,153.0277691
"ASPLEY, Aspley State High School - 651 Zillmere Rd, Aspley QLD 4034, New hall and music and visual arts centre: Refurbishment / Renovation / Repairs, General Building, Construct new multipurpose hall and visual arts and music centre",EDUCATION,Education - Schools,"$15,000,000.00",$0.00,"$15,000,000.00",NA,$0.00,Q3/2020,Non Traditional,4,Brisbane,Construction of a new multi-purpose hall and a new music and visual arts centre,Select,Medium - within a day use facility,No,E0001192,,2019 - 2020,-27.3569472,153.0244728
"Indooroopilly, Indooroopilly State High School, New Learning Centre (2020 Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$16,246,000.00","$7,600,000.00","$8,646,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,34-151218,,2019 - 2020,-27.5007028,152.9852194
"Sarina, 8-18 Hospital Street, Sarina Hospital Redevelopment",HEALTH,Hospitals/Health/Welfare,"$16,500,000.00","$329,000.00","$1,041,000.00",NA,"$15,130,000.00",Q2/2020,TBA,TBA,Mackay,,TBA,TBA,No,CAS408,,2019 - 2020,-21.4209018,149.2094826
"Ferny Grove, Ferny Grove State High School, New Learning Centre (2020 Program): New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$17,297,000.00","$9,863,000.00","$7,434,000.00",NA,$0.00,Contract Previously Awarded,Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-151018,,2019 - 2020,-27.4069901,152.9339506
"Bargara, Queensland, Mon Repos Turtle Centre, Visitor Centre: New Construction Work / Addition, General Building",ENVIRONMENT AND SCIENCE,Recreational,"$17,360,000.00","$3,070,000.00","$13,465,000.00",NA,"$825,000.00",Contract Previously Awarded,Traditional,2,Wide Bay Burnett,Development of Functional Description and Design Brief,Open,Medium - within a day use facility,No,81157/82250,,2019 - 2020,-24.8312314,152.4592208
"Marsden, Marsden State High School, New Learning Centre",EDUCATION,Education - Schools,"$17,600,000.00",$0.00,$0.00,NA,"$17,600,000.00",Q3/2020,TBA,TBA,Brisbane,,TBA,TBA,No,34-1153856,,2019 - 2020,-27.684547,153.110506
"Blackall, Blackall Hospital, Shamrock Street, Blackall QLD 4472, New Build: Modular / Prefabricated Building Systems, General Building, New Hospital -P/N 83709",HEALTH,Hospitals/Health/Welfare,"$17,900,000.00","$647,000.00","$2,650,000.00",NA,"$14,603,000.00",Contract Previously Awarded,Non Traditional,3,Central West,,Select,Low - on a greenfield site,No,83709,,2019 - 2020,-24.4226653,145.4493108
"Griffin State School, Griffin State School, Stages 3A, 3B and 4: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$19,304,000.00","$1,911,000.00","$8,601,000.00",NA,"$8,792,000.00",Contract Previously Awarded,Non Traditional,3,Brisbane,,Select,Medium - within a day use facility,No,"34-151777, 34-153246",,2019 - 2020,-27.2567134,153.0243388
"South Brisbane, Queensland Childrens Hospital, Level 12",HEALTH - HHS - Qld Childrens Hospital,Hospitals/Health/Welfare,"$20,000,000.00","$252,000.00","$10,651,000.00",NA,"$9,097,000.00",Q2/2020,TBA,TBA,Brisbane,,TBA,TBA,No,85962,,2019 - 2020,-27.4839778,153.0265697
"Caboolture, New Special School, New Special School: New Construction Work / Addition, General Building, Main Contract - New School",EDUCATION,Education - Schools,"$21,215,000.00","$7,538,000.00","$13,677,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Brisbane,,Open,Low - on a greenfield site,No,34-151450,,2019 - 2020,-27.0979719,152.9432571
"Caboolture, New Special School, New Special School: New Construction Work / Addition, General Building, Early Works Contract - TTC & Farm",EDUCATION,Education - Schools,"$21,215,000.00","$7,538,000.00","$13,677,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151450,,2019 - 2020,-27.0979719,152.9432571
"Toowong, Queensland Academy for Science, Mathematics and Technology, Stage 2: New Construction Work / Addition, General Building, Stage 2 Contract",EDUCATION,Education - Schools,"$25,802,000.00","$8,720,000.00","$17,082,000.00",NA,$0.00,Contract Previously Awarded,Non Traditional,3,Brisbane,,Open,Medium - within a day use facility,No,34-152445,,2019 - 2020,-27.4871063,152.9796295
"Gulliver, Townsville, Pimlico TAFE Campus, Extension to Block D: New Construction Work / Addition, General Building, Extension to Block D","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,26000000,1000000,1000000,NA,24000000,Contract Previously Awarded,Traditional,3,Northern,"2 storey extension and associated civil works, new sub station",Open,Medium - within a day use facility,No,84815,,2019 - 2020,-19.282,146.7715
"Gulliver, Townsville, Pimlico TAFE Campus, Extension to Block D: New Construction Work / Addition, General Building","EMPLOYMENT, SMALL BUSINESS & TRAINING",Education - Colleges,26000000,1000000,1000000,NA,24000000,Tenders Under Review,Traditional,2,Northern,"2 storey extension and associated civil works, new sub station",Open,Medium - within a day use facility,No,84815,,2019 - 2020,-19.282,146.7715
"Gold Coast, New Special School, North Gold Coast 2022 Opening",EDUCATION,Education - Schools,36100000,0,1100000,NA,35000000,Q1/2021,TBA,TBA,Moreton South/Gold Coast,,TBA,TBA,No,34-NEWSPECIALSCHOOL,,2019 - 2020,-27.960963,153.394461
"Calliope, New State High School, New State High School: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,36888000,16659000,20229000,NA,0,Contract Previously Awarded,Non Traditional,3,Fitzroy,,Open,Low - on a greenfield site,No,34-151054,,2019 - 2020,-23.9997554,151.2150161
"Hervey Bay and Maryborough, Hospital, Fraser Coast Mental Health Services Expansion",HEALTH - HHS - Wide Bay,Hospitals/Health/Welfare,39600000,0,3000000,NA,36600000,Q4/2020,TBA,TBA,Wide Bay Burnett,0,TBA,TBA,No,86954,,2019 - 2020,-25.2986132,152.8210861
"Caloundra South, New Primary School Number Two for 2022, New Primary School Number Two for 2022",EDUCATION,Education - Schools,41000000,0,1000000,NA,40000000,Q1/2021,TBA,TBA,Moreton North/Sunshine Coast,,TBA,TBA,No,34-154715,,2019 - 2020,-26.799,153.133
"Gladstone, Gladstone Hospital, Emergency Department: New Construction Work / Addition, General Building, Building Contractor",HEALTH,Hospitals/Health/Welfare,42000000,11888000,22121000,NA,7991000,Contract Previously Awarded,Traditional,3,Fitzroy,"








Upgrade Emergency Department",Select,High - within a 24 hour use facility,No,CIDU345,,2019 - 2020,-23.8505761,151.2485947
"Thursday Island, Thursday Island Hospital, Thursday Island Hospital",HEALTH,Hospitals/Health/Welfare,47310437,0,2310437,NA,45000000,Q2/2020,TBA,TBA,Far North,Upgrade Existing Hospital,TBA,TBA,No,87042,,2019 - 2020,-10.5882172,142.2104394
"Cairns Hospital, Lot 1 on SP216459, Mental Health Unit",HEALTH,Hospitals/Health/Welfare,70000000,1354000,2805000,NA,65841000,Q1/2021,TBA,TBA,Far North,"Design and  Construction of new Mental Health Inpatient and Community Facilities
",TBA,TBA,No,CAS388,,2019 - 2020,-16.9185514,145.7780548
"Fortitude Valley - New State High School, 85 Brookes Street, Fortitude Valley, 4006, Inner City North - New School: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,77907000,20493000,56935000,NA,479000,Contract Previously Awarded,Non Traditional,3,Brisbane,Inner City North new school project,Open,High - within a 24 hour use facility,No,34-150326,,2019 - 2020,-27.4528767,153.0357066
"Roma, Roma Hospital, 197 - 243 McDowall Street, New Hospital Buildings: New Construction Work / Addition, General Building, Construction of new hospital - Main Works",HEALTH,Hospitals/Health/Welfare,98100000,33682000,56448000,NA,7970000,Contract Previously Awarded,Traditional,3,South West,,Select,High - within a 24 hour use facility,No,CIDU275,,2019 - 2020,-26.5685703,148.7757078
"Inner City South, New State High School Stage 1 and 2, New State High School Stage 1 and 2: New Construction Work / Addition, General Building, Stage 1 and 2 Building Contract",EDUCATION,Education - Schools,118146000,4022000,33672000,NA,80452000,Tenders Under Review,Non Traditional,3,Brisbane,,Select,Low - on a greenfield site,No,34-151208,,2019 - 2020,-27.4955845,153.0276205
"Brisbane, Playhouse Green, Cnr Grey Street and Russell Street, Brisbane, New Performing Arts Venue (NPAV): New Construction Work / Addition, General Building",HPW - PROJECT DELIVERY,Recreational,150000000,890000,5210000,NA,143900000,Contract Previously Awarded,Non Traditional,3,Brisbane,"
New performing arts venue with a minimum 1,500 seats with associated back of house, administration and support services to be completed by 2022.
",Open,TBA,No,DSDMIPTBC,,2019 - 2020,-27.4753569,153.019598
"Capricornia, Capricornia Correctional Centre, Extension: New Construction Work / Addition, General Building",CORRECTIVE SERVICES,Building related projects,241000000,103703000,88000000,NA,49297000,Contract Previously Awarded,Non Traditional,3,Fitzroy,,Select,High - within a 24 hour use facility,No,82729,,2019 - 2020,-23.2312882,150.4703786
"Townsville, Townsville North Queensland Stadium, Townsville North Queensland Stadium: New Construction Work / Addition, General Building, New Construction",HPW - PROJECT DELIVERY,Recreational,248900000,46091000,120000000,NA,82809000,Contract Previously Awarded,Non Traditional,3,Northern,,Select,Medium - within a day use facility,No,1300566,,2019 - 2020,-19.2670358,146.8150784
