"Estimated resident population by local government area (LGA), Queensland, 1991 to 2019p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018r,2019p
,— number — ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurukun (S),800,804,813,818,819,829,870,914,956,"1,012","1,074","1,109","1,100","1,110","1,098","1,089","1,164","1,252","1,315","1,365","1,398","1,372","1,350","1,332","1,321","1,323","1,343","1,381","1,418"
Balonne (S),"5,346","5,297","5,190","5,011","4,845","4,785","4,893","5,052","5,178","5,342","5,473","5,336","5,174","5,000","4,878","4,754","4,760","4,786","4,813","4,833","4,862","4,787","4,776","4,726","4,610","4,461","4,373","4,333","4,360"
Banana (S),"16,386","16,168","15,961","15,655","15,247","15,143","15,203","15,306","15,314","15,408","15,534","15,328","15,136","14,959","14,913","15,026","14,883","14,880","14,941","14,855","14,812","14,852","14,948","14,860","14,707","14,570","14,485","14,287","14,156"
Barcaldine (R),"3,814","3,832","3,806","3,753","3,697","3,660","3,612","3,581","3,554","3,516","3,483","3,482","3,388","3,350","3,359","3,341","3,338","3,322","3,303","3,295","3,292","3,249","3,232","3,166","3,082","2,909","2,868","2,851","2,849"
Barcoo (S),501,501,486,478,472,466,458,461,470,461,454,437,408,404,381,370,364,371,360,360,363,348,333,317,296,272,267,267,266
Blackall-Tambo (R),"2,843","2,771","2,708","2,615","2,510","2,445","2,415","2,419","2,405","2,403","2,385","2,327","2,218","2,164","2,126","2,063","2,076","2,124","2,171","2,216","2,257","2,236","2,214","2,152","2,035","1,925","1,876","1,863","1,868"
Boulia (S),557,550,547,538,524,526,540,556,558,560,566,534,502,477,456,434,428,443,456,485,493,486,481,473,459,436,424,425,423
Brisbane (C),"769,346","772,043","778,025","786,375","798,781","813,615","824,934","838,722","852,689","867,311","885,787","908,289","930,535","949,935","967,989","987,831","1,010,222","1,033,472","1,057,692","1,073,144","1,089,879","1,111,798","1,131,996","1,149,107","1,165,437","1,184,752","1,208,663","1,230,938","1,253,982"
Bulloo (S),599,583,562,543,532,516,504,485,477,462,450,445,429,417,397,380,369,379,390,405,418,410,396,388,372,356,343,330,325
Bundaberg (R),"65,237","66,637","68,632","70,597","72,351","74,029","75,030","75,773","76,320","76,856","77,430","78,571","79,559","80,991","82,876","84,816","86,486","88,599","90,335","91,400","92,063","93,293","93,850","94,025","94,028","94,256","94,697","95,280","95,856"
Burdekin (S),"19,248","19,191","19,054","18,831","18,690","18,796","18,769","18,578","18,385","18,216","18,158","18,038","17,846","17,636","17,536","17,451","17,568","17,653","17,776","17,786","17,775","17,862","17,754","17,695","17,566","17,326","17,232","17,073","16,971"
Burke (S),330,320,310,299,287,277,296,322,344,454,490,496,501,492,506,512,532,542,543,549,557,551,506,450,396,342,345,352,354
Cairns (R),"90,651","93,598","97,777","101,931","106,637","110,511","112,127","113,462","114,337","114,983","115,373","117,266","120,286","123,392","127,336","131,843","136,251","141,403","145,962","148,943","150,992","154,041","156,764","158,574","159,944","161,573","163,762","165,462","166,862"
Carpentaria (S),"1,879","1,897","1,922","1,945","1,955","1,962","1,992","2,064","2,151","2,205","2,246","2,253","2,242","2,191","2,080","2,003","2,087","2,124","2,136","2,182","2,197","2,170","2,146","2,112","2,092","2,051","1,994","1,974","1,977"
Cassowary Coast (R),"26,548","26,822","27,155","27,657","27,936","28,653","29,005","29,123","29,186","29,438","29,536","29,447","29,438","29,337","29,124","28,603","28,706","28,739","28,761","28,718","28,636","28,880","28,950","29,038","29,098","29,287","29,578","29,679","29,794"
Central Highlands (R),"25,161","25,825","26,000","25,744","25,795","25,790","25,670","25,399","25,081","24,708","24,581","25,054","25,540","26,141","26,661","27,265","27,596","28,090","28,714","29,082","29,541","29,741","29,782","29,598","29,143","28,690","28,604","28,636","28,701"
Charters Towers (R),"12,764","12,731","12,715","12,621","12,432","12,357","12,289","12,242","12,158","12,052","12,007","11,962","11,939","11,872","11,783","11,729","11,915","12,096","12,239","12,316","12,434","12,403","12,391","12,367","12,235","12,087","11,967","11,849","11,739"
Cherbourg (S),"1,143","1,137","1,142","1,122","1,123","1,126","1,149","1,148","1,162","1,171","1,186","1,191","1,197","1,192","1,188","1,182","1,190","1,206","1,222","1,245","1,264","1,283","1,292","1,300","1,304","1,293","1,312","1,315","1,331"
Cloncurry (S),"3,135","3,131","3,148","3,164","3,134","3,170","3,311","3,460","3,536","3,644","3,754","3,664","3,552","3,424","3,342","3,248","3,250","3,308","3,304","3,301","3,342","3,359","3,327","3,270","3,179","3,125","3,132","3,090","3,047"
Cook (S) (a),"2,923","2,961","3,015","3,055","3,092","3,169","3,235","3,410","3,547","3,578","3,636","3,650","3,611","3,696","3,626","3,565","3,650","3,787","3,988","4,135","4,409","4,215","4,231","4,073","4,225","4,310","4,352","4,452","4,557"
Croydon (S),236,246,255,265,273,285,290,290,288,280,282,277,274,266,271,264,271,297,307,319,327,317,308,303,297,296,292,288,284
Diamantina (S),246,260,275,289,303,321,327,327,334,326,320,313,301,295,294,291,290,295,296,293,292,295,299,303,301,296,287,292,291
Doomadgee (S),"1,055","1,019",989,948,905,885,943,"1,000","1,073","1,116","1,178","1,166","1,154","1,142","1,136","1,129","1,194","1,235","1,273","1,327","1,374","1,368","1,400","1,422","1,454","1,475","1,494","1,506","1,526"
Douglas (S),"7,476","7,837","8,088","8,512","8,948","9,341","9,813","10,041","10,093","10,044","10,264","10,442","10,522","10,453","10,369","10,524","10,768","10,995","11,116","11,146","11,186","11,380","11,585","11,757","11,877","12,070","12,261","12,252","12,367"
Etheridge (S),"1,037","1,029","1,011",985,959,949,949,946,954,968,997,972,941,897,883,869,902,915,927,923,929,897,864,840,818,807,807,804,793
Flinders (S),"2,666","2,575","2,492","2,382","2,271","2,215","2,170","2,115","2,096","2,062","2,050","2,016","2,017","1,946","1,897","1,844","1,842","1,837","1,834","1,834","1,840","1,795","1,754","1,710","1,643","1,582","1,519","1,498","1,505"
Fraser Coast (R),"56,983","59,233","62,328","65,150","66,978","68,467","69,462","70,525","71,200","71,766","72,781","74,299","77,048","80,111","83,010","86,117","89,109","92,018","94,813","96,618","97,661","99,021","100,290","101,332","102,129","102,962","104,042","105,448","106,712"
Gladstone (R),"38,974","39,641","40,823","41,867","42,814","43,757","44,213","44,566","44,804","45,033","45,479","46,592","47,860","49,517","50,587","52,051","53,587","55,425","57,046","57,697","59,461","60,521","62,158","63,367","63,697","63,017","62,800","62,961","63,412"
Gold Coast (C),"253,318","265,613","278,199","291,744","308,423","319,901","332,222","343,114","354,677","367,187","379,679","394,631","410,545","424,005","436,671","450,075","466,940","481,569","495,835","506,135","515,202","528,342","540,687","550,718","561,629","575,303","591,141","606,528","620,518"
Goondiwindi (R),"10,224","10,235","10,235","10,067","9,914","9,810","9,839","9,920","9,977","10,087","10,219","10,297","10,326","10,306","10,297","10,364","10,468","10,605","10,722","10,823","10,900","10,944","10,952","10,902","10,835","10,813","10,770","10,725","10,799"
Gympie (R),"32,361","33,295","34,318","35,418","36,204","36,831","37,237","37,448","37,578","37,744","38,062","38,549","39,389","40,469","41,682","42,628","43,634","44,700","45,774","46,366","46,837","47,786","48,491","49,089","49,540","50,327","51,049","51,578","52,446"
Hinchinbrook (S),"13,367","13,346","13,293","13,232","13,186","13,250","13,070","12,851","12,618","12,385","12,172","12,046","12,004","11,851","11,814","11,810","11,822","11,826","11,829","11,808","11,817","11,763","11,613","11,412","11,181","10,968","10,878","10,803","10,687"
Hope Vale (S),730,748,765,776,787,816,826,845,853,867,875,867,850,831,824,812,850,897,955,"1,011","1,052","1,059","1,043","1,030","1,009","1,014","1,046","1,081","1,117"
Ipswich (C),"113,230","114,592","116,577","118,759","119,894","121,173","121,720","121,824","121,745","122,827","123,934","126,116","128,646","132,119","137,324","141,986","148,133","154,428","161,664","167,134","172,200","178,215","183,688","189,195","194,274","200,103","206,500","213,568","222,307"
Isaac (R),"22,400","22,162","21,887","21,240","20,628","20,397","20,138","19,712","19,067","18,617","18,169","18,590","19,050","19,231","19,785","20,372","21,018","21,632","22,237","22,658","23,188","23,344","23,284","22,786","22,173","21,543","21,182","20,930","20,886"
Kowanyama (S),971,974,979,984,986,989,989,991,989,"1,000",999,"1,012","1,016","1,030","1,048","1,063","1,075","1,079","1,088","1,103","1,112","1,078","1,042","1,014",996,983,972,977,990
Livingstone (S),"18,042","18,860","20,138","21,242","22,174","22,961","23,613","24,274","24,931","25,203","25,863","26,488","27,280","28,159","28,755","29,543","30,629","31,407","32,474","32,906","33,394","34,381","35,279","36,063","36,579","36,950","37,286","37,629","38,078"
Lockhart River (S) (a),508,521,533,540,548,568,583,598,612,625,638,623,607,591,584,578,573,555,554,552,520,569,617,663,689,738,752,774,792
Lockyer Valley (R),"22,897","23,391","24,556","25,773","26,535","27,242","27,508","27,698","27,949","28,148","28,213","28,813","29,078","29,485","30,524","31,305","32,050","32,974","34,333","35,110","35,880","36,547","37,682","38,363","38,861","39,499","40,219","40,996","41,731"
Logan (C),"195,026","200,700","206,478","212,114","218,324","222,655","225,413","226,329","228,129","231,224","234,351","239,515","244,076","249,161","253,905","259,116","264,410","270,628","277,372","282,189","287,474","293,974","300,545","305,147","309,342","314,511","320,487","326,494","334,358"
Longreach (R),"4,773","4,696","4,660","4,621","4,500","4,441","4,440","4,445","4,462","4,492","4,537","4,545","4,447","4,379","4,284","4,174","4,174","4,193","4,219","4,250","4,296","4,217","4,104","4,027","3,812","3,727","3,598","3,529","3,470"
Mackay (R),"76,472","78,260","79,625","81,326","82,929","85,105","86,024","86,719","87,548","88,379","89,337","91,554","93,642","96,285","99,901","103,567","106,026","108,644","111,455","113,669","115,960","117,495","118,878","118,916","118,292","117,218","116,601","116,514","116,763"
Mapoon (S),163,166,170,173,175,182,185,193,195,202,205,213,224,232,239,247,254,262,271,276,281,290,293,302,304,318,322,325,333
Maranoa (R),"13,318","13,296","13,177","12,952","12,623","12,418","12,335","12,289","12,267","12,266","12,368","12,383","12,436","12,461","12,501","12,612","12,770","12,952","13,113","13,286","13,437","13,424","13,515","13,434","13,292","12,926","12,847","12,788","12,665"
Mareeba (S),"17,032","17,341","17,700","17,798","17,851","18,065","18,065","18,161","18,138","18,113","18,125","18,236","18,307","18,353","18,553","18,753","19,195","19,737","20,177","20,495","20,745","20,953","21,379","21,542","21,812","22,038","22,203","22,511","22,730"
McKinlay (S),"1,219","1,213","1,205","1,173","1,156","1,147","1,151","1,117","1,085","1,058","1,045","1,033",993,973,951,922,963,994,"1,011","1,044","1,085","1,041",992,943,876,816,810,814,818
Moreton Bay (R),"209,806","218,929","228,475","237,458","246,000","253,273","259,386","265,260","270,994","276,737","283,062","291,543","302,027","312,887","323,085","331,713","344,545","357,499","370,447","381,357","390,051","401,188","410,687","419,764","428,994","439,292","449,213","459,456","469,465"
Mornington (S),729,805,885,963,"1,038","1,120","1,101","1,061","1,003","1,002",991,999,"1,046","1,054","1,067","1,082","1,119","1,120","1,158","1,184","1,220","1,218","1,206","1,202","1,202","1,197","1,205","1,218","1,230"
Mount Isa (C),"24,507","24,245","23,800","23,221","22,550","22,226","21,836","21,480","21,097","20,892","20,743","20,276","19,997","19,908","20,153","20,374","20,711","21,381","21,607","21,830","22,079","21,958","21,822","21,261","20,586","19,606","19,187","18,870","18,595"
Murweh (S),"5,803","5,648","5,473","5,286","5,064","4,944","4,902","4,862","4,846","4,879","4,936","4,892","4,848","4,803","4,774","4,692","4,665","4,668","4,699","4,714","4,731","4,737","4,685","4,639","4,527","4,386","4,305","4,317","4,295"
Napranum (S),669,686,701,710,720,748,756,765,777,776,785,799,819,836,856,876,881,890,901,910,908,919,922,939,959,989,"1,018","1,047","1,077"
Noosa (S),"24,477","26,073","27,775","30,125","32,493","34,552","36,016","37,473","38,797","40,201","43,496","44,893","46,063","47,183","47,635","48,082","48,595","49,600","50,315","50,770","51,038","51,678","52,360","52,988","53,497","53,922","54,642","55,355","55,873"
North Burnett (R),"11,487","11,448","11,356","11,319","11,155","11,111","10,967","10,780","10,619","10,458","10,450","10,408","10,415","10,445","10,403","10,378","10,322","10,335","10,377","10,358","10,374","10,408","10,487","10,547","10,607","10,646","10,663","10,624","10,599"
Northern Peninsula Area (R),"1,744","1,779","1,808","1,833","1,861","1,908","1,935","1,961","1,978","2,018","2,055","2,058","2,069","2,074","2,070","2,063","2,168","2,234","2,273","2,391","2,463","2,547","2,620","2,741","2,836","2,945","3,001","3,068","3,163"
Palm Island (S),"2,134","2,130","2,122","2,112","2,105","2,115","2,125","2,141","2,180","2,235","2,269","2,249","2,202","2,155","2,103","2,070","2,162","2,265","2,333","2,430","2,538","2,539","2,529","2,527","2,550","2,581","2,613","2,637","2,671"
Paroo (S),"2,667","2,608","2,566","2,476","2,355","2,291","2,268","2,237","2,217","2,190","2,172","2,127","2,106","2,075","2,042","1,991","1,946","1,921","1,909","1,924","1,937","1,903","1,849","1,807","1,734","1,668","1,649","1,586","1,562"
Pormpuraaw (S),526,527,530,533,534,535,552,568,589,595,618,622,622,623,623,621,647,662,673,691,715,730,737,747,764,785,819,833,845
Quilpie (S),"1,397","1,374","1,353","1,318","1,294","1,274","1,233","1,201","1,172","1,132","1,086","1,064","1,045","1,025","1,019","1,012",994,992,996,"1,003","1,007",983,944,915,868,825,819,790,778
Redland (C),"82,818","86,984","91,010","94,624","98,235","101,723","104,166","106,201","109,034","112,409","115,832","118,870","122,994","126,010","128,654","130,760","133,596","136,771","139,859","141,552","143,711","145,719","147,328","148,833","150,107","152,216","154,590","156,825","158,815"
Richmond (S),"1,204","1,189","1,176","1,159","1,131","1,120","1,117","1,108","1,104","1,111","1,128","1,090","1,062","1,007",975,935,908,895,898,873,847,841,839,838,820,806,802,806,810
Rockhampton (R),"71,626","71,659","72,149","72,500","72,098","72,032","71,716","71,491","71,143","70,724","70,480","70,909","71,499","72,420","73,185","74,204","75,195","76,272","77,448","78,193","78,939","80,555","81,745","82,136","82,026","81,322","81,193","81,051","81,512"
Scenic Rim (R),"24,590","25,318","26,172","26,690","27,173","27,639","28,127","28,587","28,922","29,460","30,030","30,715","31,930","32,749","33,560","34,231","34,983","35,578","36,525","37,167","37,437","37,966","38,732","39,882","40,307","40,984","41,749","42,576","43,123"
Somerset (R),"15,527","15,682","16,057","16,303","16,545","16,833","17,080","17,310","17,548","17,739","17,866","18,117","18,361","18,609","19,085","19,608","19,919","20,366","21,071","21,717","22,200","22,761","23,619","24,459","24,681","25,153","25,529","25,881","26,219"
South Burnett (R),"25,494","25,882","26,500","26,880","26,896","26,904","27,064","27,133","27,202","27,289","27,651","27,942","28,251","28,630","29,050","29,699","30,114","30,583","31,173","31,518","31,803","32,340","32,647","32,606","32,589","32,625","32,574","32,549","32,521"
Southern Downs (R),"29,813","30,143","30,465","30,644","30,408","30,270","30,338","30,461","30,616","30,846","31,064","31,361","31,593","31,729","32,010","32,411","32,933","33,451","33,976","34,313","34,649","35,013","35,501","35,580","35,566","35,638","35,566","35,593","35,452"
Sunshine Coast (R),"136,825","144,660","153,050","161,265","168,651","174,155","180,025","185,625","190,681","195,773","198,931","205,772","214,931","223,143","230,168","236,654","243,309","250,800","258,047","263,053","267,241","274,828","281,969","288,652","295,317","302,841","311,142","319,837","328,428"
Tablelands (R),"19,808","20,182","20,557","20,786","21,098","21,496","21,616","21,720","21,688","21,788","21,894","22,201","22,502","22,699","22,861","23,228","23,553","23,885","24,103","24,230","24,372","24,603","24,827","25,060","25,111","25,217","25,335","25,535","25,575"
Toowoomba (R),"122,774","124,527","126,390","127,292","127,386","128,118","129,126","130,270","131,428","133,126","134,955","136,619","138,528","140,827","143,791","145,992","147,927","150,140","152,525","154,222","155,473","157,884","159,916","161,523","162,775","164,168","166,013","167,611","169,008"
Torres (S),"2,940","2,956","2,976","3,005","3,031","3,062","3,127","3,205","3,304","3,424","3,531","3,560","3,544","3,512","3,481","3,373","3,418","3,457","3,481","3,485","3,477","3,567","3,647","3,717","3,753","3,799","3,809","3,847","3,887"
Torres Strait Island (R),"3,419","3,443","3,494","3,539","3,587","3,636","3,746","3,863","3,979","4,108","4,244","4,314","4,387","4,400","4,485","4,548","4,577","4,606","4,609","4,600","4,578","4,599","4,614","4,690","4,731","4,775","4,860","4,993","5,104"
Townsville (C),"121,576","123,260","126,142","128,112","129,787","131,018","132,116","133,821","136,392","139,411","142,012","145,115","147,964","151,172","155,330","159,482","163,509","168,503","173,067","176,528","180,114","183,612","186,519","188,777","190,011","191,348","192,944","194,019","195,032"
Weipa (T),"2,496","2,524","2,477","2,463","2,452","2,464","2,310","2,138","2,092","2,116","2,131","2,241","2,367","2,507","2,721","2,902","3,133","3,246","3,303","3,337","3,423","3,684","3,811","3,863","3,964","4,040","4,156","4,239","4,333"
Western Downs (R),"29,943","29,925","29,692","29,348","28,903","28,672","28,666","28,649","28,703","28,671","28,715","28,711","28,636","28,655","28,837","29,122","29,520","30,235","30,893","31,466","32,365","32,899","33,415","33,744","33,867","34,049","34,434","34,459","34,585"
Whitsunday (R),"24,921","25,148","25,583","25,847","26,229","26,851","27,056","27,152","27,177","27,167","27,396","27,996","28,491","28,977","29,606","30,255","30,759","31,337","31,838","32,140","32,416","33,397","34,113","34,362","34,509","34,538","34,774","35,037","35,357"
Winton (S),"1,758","1,745","1,733","1,696","1,661","1,637","1,633","1,616","1,599","1,585","1,585","1,567","1,543","1,473","1,454","1,423","1,403","1,372","1,371","1,359","1,380","1,345","1,312","1,276","1,222","1,154","1,148","1,157","1,153"
Woorabinda (S),"1,319","1,320","1,262","1,209","1,158","1,144","1,117","1,108","1,069","1,028","1,014",987,966,943,915,886,902,916,934,957,976,984,986,990,989,999,998,"1,005","1,016"
Wujal Wujal (S),270,283,295,311,317,336,345,352,356,366,366,361,356,347,342,336,325,319,311,297,287,287,289,291,287,292,298,306,312
Yarrabah (S),"1,895","1,920","1,949","1,974","1,996","2,024","2,078","2,126","2,167","2,209","2,236","2,278","2,323","2,365","2,410","2,468","2,498","2,531","2,535","2,588","2,595","2,643","2,686","2,694","2,695","2,702","2,799","2,847","2,901"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland (b),"2,960,951","3,023,198","3,096,185","3,166,566","3,237,380","3,303,192","3,355,417","3,404,484","3,453,936","3,509,458","3,571,469","3,653,123","3,743,121","3,829,970","3,918,494","4,007,992","4,111,018","4,219,505","4,328,771","4,404,744","4,476,778","4,568,687","4,652,824","4,719,653","4,777,692","4,845,152","4,927,629","5,009,424","5,094,510"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r = revised    p = preliminary     (C) = City     (R) = Regional Council     (S) = Shire    (T) = Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Under the 2017 ASGS, Mesh Block 30225042000 was reallocated from Cook (S) to Lockhart River (S). This accounts for differences in the 2017, 2018 and 2019 estimates between ASGS 2016 and ASGS 2017/2018. Refer to ABS explanatory notes, ""Updated Mesh Block Allocation, October 2018"", http://www.abs.gov.au/ausstats/abs@.nsf/Lookup/by%20Subject/1270.0.55.003~July%202018~Main%20Features~Local%20Government%20Areas%20(LGAs)~2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Local government area does not sum to Queensland from 1991 to 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographies are based on the 2016 edition of the Australian Statistical Geography Standard (ASGS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ABS 3218.0 - Regional Population Growth, Australia, various editions and Queensland Treasury and Trade estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
